Cosmopolitan,Vodka
Lemon Drop,Vodka
Mojito,Rum
Washington Apple,Crown Royal
Appletini,Vodka
Tequilla Sunrise,Tequilla
Dark n Stormy,Rum
Daquiri,Rum
Manhatten,Whiskey
